Sentence,1 Keyword,2 Keywords,3 Keywords,Emotion
"Would it be possible to get an assessment of my eczema today?",Assessment,Eczema Assessment,Assessment Eczema Today,Neutral
"I'm curious about the results of my latest allergy tests.",Allergy,Allergy Tests,Latest Allergy Tests,Neutral
"How is my blood pressure doing compared to last time?",Pressure,Blood Pressure,Blood Pressure Doing,Neutral
"Could you inform me about the effectiveness of my current heart disease medication?",Effectiveness,Heart Disease,Heart Disease Medication,Neutral
"Is my ulcerative colitis being managed as expected?",Colitis,Ulcerative Colitis,Managed Ulcerative Colitis,Neutral
"May I get some clarity on my current cancer markers?",Clarity,Cancer Markers,Clarity Cancer Markers,Neutral
"What can you tell me about my recent COPD assessment?",COPD,COPD Assessment,Recent COPD Assessment,Neutral
"Are there any updates on the treatment for my kidney stones?",Updates,Kidney Stones,Updates Treatment Kidney,Neutral
"I'd like to know more about my liver function test results, please.",Liver,Liver Function,Liver Function Test,Neutral
"Could I have the latest information on my glaucoma condition?",Glaucoma,Glaucoma Condition,Latest Glaucoma Condition,Neutral
"Would you mind sharing the progress of my sleep apnea treatment?",Progress,Sleep Apnea,Sleep Apnea Treatment,Neutral
"Has there been a reduction in my prostate enlargement?",Reduction,Prostate Enlargement,Reduction Prostate Enlargement,Relief
"Can we go over the status of my varicose veins?",Status,Varicose Veins,Status Varicose Veins,Neutral
"Is there any progress in healing my broken bones?",Healing,Broken Bones,Progress Healing Bones,Relief
"Could you please tell me how my Parkinson's disease is doing?",Parkinson's,Parkinson's Disease,My Parkinson's Disease,Neutral
"How effective has the treatment been for my depression?",Effective,Depression Treatment,Treatment Depression Effective,Neutral
"What are the latest findings on my breast cancer?",Findings,Breast Cancer,Latest Breast Cancer,Neutral
"May I understand where we stand with my HIV management?",HIV,HIV Management,Stand HIV Management,Neutral
"Could you give me an overview of my psoriasis treatment efficacy?",Efficacy,Psoriasis Efficacy,Treatment Psoriasis Efficacy,Neutral
"Is the medication making a difference for my multiple sclerosis?",Medication,Multiple Sclerosis,Medication Multiple Sclerosis,Neutral
"How are my lab results looking for Lyme disease?",Lab,Lyme Disease,Lab Results Lyme,Neutral
"Could we review the current approach to my GERD symptoms?",Approach,GERD Symptoms,Current Approach GERD,Neutral
"I'm eager to hear about the improvements in my Crohn's disease.",Improvements,Crohn's Disease,Improvements Crohn's Disease,Relief
"Can you update me on the interventions for my osteoarthritis?",Interventions,Osteoarthritis Interventions,Update Interventions Osteoarthritis,Neutral
"What's the current prognosis for my pancreatic cancer?",Prognosis,Pancreatic Cancer,Current Prognosis Pancreatic,Neutral
"How is my recovery from the stroke progressing?",Recovery,Stroke Recovery,Recovery Stroke Progressing,Neutral
"Can you brief me on the status of my epilepsy management?",Brief,Epilepsy Management,Status Epilepsy Management,Neutral
"Are my angina symptoms under better control now?",Angina,Angina Symptoms,Angina Symptoms Control,Relief
"I'd appreciate an update on my chronic fatigue syndrome.",Fatigue,Chronic Fatigue,Update Chronic Fatigue,Neutral
"Have the treatments for my fibromyalgia been effective?",Treatments,Fibromyalgia Treatments,Treatments Fibromyalgia Effective,Neutral
"Can we discuss my current bone density scan results?",Bone,Bone Density,Bone Density Scan,Neutral
"Is there any noticeable change in my cataract condition?",Change,Cataract Condition,Change Cataract Condition,Neutral
"What does my recent MRI indicate about my brain tumor?",MRI,Brain Tumor,Recent MRI Brain,Neutral
"Have there been any advancements in treating my melanoma?",Advancements,Melanoma Advancements,Advancements Treating Melanoma,Neutral
"May I inquire about my recent hemoglobin A1C levels?",Hemoglobin,Hemoglobin A1C,Recent Hemoglobin A1C,Neutral
"Could you let me know how my cystic fibrosis is faring?",Cystic,Cystic Fibrosis,Cystic Fibrosis Faring,Neutral
"Would you update me on my current renal function status?",Renal,Renal Function,Renal Function Status,Neutral
"Is my gout responding well to the new treatment plan?",Gout,Gout Responding,Gout Responding Treatment,Relief
"Can you tell me the current state of my peptic ulcer?",Peptic,Peptic Ulcer,State Peptic Ulcer,Neutral
"Thank you for your assistance today, I really appreciate it.",Appreciation,Your Assistance,Assistance Today Appreciate,Gratitude
"Could you please explain the procedure once more?",Explain,Explain Procedure,Please Explain Procedure,Neutral
"Would you mind checking my medication schedule?",Medication,Checking Medication,Medication Schedule Check,Neutral
"I'm grateful for your patience with all my questions.",Patience,Your Patience,Grateful Your Patience,Gratitude
"May I request an extra blanket when you have a moment?",Blanket,Extra Blanket,Request Extra Blanket,Neutral
"Is it possible to have a family member visit today?",Visit,Family Visit,Family Member Visit,Neutral
"I understand you're busy, but could I have some water?",Water,Some Water,Could Have Water,Neutral
"Would it be possible to get my test results today?",Results,Test Results,Get Test Results,Neutral
"Can you please help me understand my treatment plan?",Treatment,Treatment Plan,Understand Treatment Plan,Neutral
"I'm feeling much better today, thanks to your care.",Feeling,Better Today,Feeling Much Better,Relief
"Could you please lower the lights? They're a bit bright.",Lights,Lower Lights,Lights Bit Bright,Neutral
"May I have some privacy while I make this phone call?",Privacy,Some Privacy,Privacy Phone Call,Neutral
"I'd appreciate a little more information on my medication.",Information,More Information,Information Medication,Neutral
"Thank you for being so accommodating with my dietary needs.",Accommodating,So Accommodating,Accommodating Dietary Needs,Gratitude
"Could I trouble you for a moment of your time?",Time,Your Time,Trouble Your Time,Neutral
"May I inquire about the schedule for my therapy sessions?",Schedule,Therapy Schedule,Inquire Therapy Schedule,Neutral
"Would you please inform me before changing any medications?",Inform,Inform Changing,Inform Changing Medications,Neutral
"I'm a bit anxious about the surgery; can you tell me more about it?",Anxious,Anxious Surgery,Bit Anxious Surgery,Anxiety
"Could you kindly adjust the bed? I'm not quite comfortable.",Adjust,Adjust Bed,Kindly Adjust Bed,Neutral
"May I know when the doctor will be making rounds today?",Rounds,Doctor Rounds,Making Rounds Today,Neutral
"I trust your judgment; what do you recommend?",Trust,Trust Judgment,Trust Your Judgment,Neutral
"Thank you for all your efforts; it doesn't go unnoticed.",Efforts,Your Efforts,Efforts Go Unnoticed,Gratitude
"Could we discuss the potential side effects of this treatment?",Side Effects,Potential Side,Discuss Side Effects,Neutral
"Would it be too much trouble to request a different meal?",Meal,Different Meal,Request Different Meal,Neutral
"I'd be grateful if you could explain my discharge instructions.",Discharge,Discharge Instructions,Explain Discharge Instructions,Neutral
"Can you please ensure that my family gets updated about my condition?",Update,Ensure Update,Ensure Family Updated,Neutral
"I appreciate how promptly you respond to my calls for assistance.",Promptly,Respond Promptly,Promptly Respond Calls,Gratitude
"Would you mind if I ask for a second opinion?",Opinion,Second Opinion,Ask Second Opinion,Neutral
"Thank you for making my stay as comfortable as possible.",Stay,My Stay,Making Stay Comfortable,Gratitude
"Could you please help me get in touch with the dietitian?",Dietitian,Touch Dietitian,Get Touch Dietitian,Neutral
"I'm relieved to hear the positive news about my progress.",Relieved,Positive News,Hear Positive News,Relief
"May I compliment the staff on their exceptional care?",Compliment,Compliment Staff,Compliment Exceptional Care,Gratitude
"Could you assist me in getting to the restroom?",Assist,Assist Restroom,Getting Restroom Assist,Neutral
"I'm looking forward to your guidance on my recovery process.",Guidance,Your Guidance,Guidance Recovery Process,Neutral
"Would you be so kind as to check on my medication refill?",Refill,Medication Refill,Check Medication Refill,Neutral
"Can you please let me know when the next round of tests will be?",Tests,Next Tests,Next Round Tests,Neutral
"I'm thankful for your understanding and flexibility.",Thankful,Understanding Flexibility,Thankful Understanding Flexibility,Gratitude
"Would it inconvenience you to provide another pillow?",Pillow,Another Pillow,Provide Another Pillow,Neutral
"Could I ask for your advice on managing pain after I leave?",Pain,Managing Pain,Advice Managing Pain,Neutral
"Thank you for your diligence in monitoring my vitals.",Diligence,Monitoring Vitals,Diligence Monitoring Vitals,Gratitude
"Is there a chance we could go over my diet restrictions?",Diet,Diet Restrictions,Go Over Diet,Neutral
"May I express my gratitude for the warmth and kindness shown to me?",Gratitude,Express Gratitude,Express My Gratitude,Gratitude
"Could you kindly explain the purpose of this new medication?",Purpose,Purpose Medication,Explain Purpose Medication,Neutral
"Would you please update me on when I can start physical therapy?",Update,Update Physical,Update Physical Therapy,Neutral
"I appreciate your promptness in addressing my concerns.",Promptness,Your Promptness,Appreciate Your Promptness,Gratitude
"Could I have a little guidance on the exercises I should do?",Guidance,Little Guidance,Guidance Exercises Do,Neutral
"Thank you for the care you've provided during my recovery.",Care,Care Provided,Care Provided Recovery,Gratitude
"Would it be possible to speak with the doctor about my recent tests?",Speak,Speak Doctor,Speak Doctor Tests,Neutral
"I'm grateful for the thorough explanations you've given me.",Thorough,Thorough Explanations,Grateful Thorough Explanations,Gratitude
"Can you stop asking me how I feel every five minutes?",Asking,Stop Asking,Asking How Feel,Frustration
"Why didn't you bring the things I actually asked for?",Bring,Didn't Bring,Bring Things Asked,Frustration
"Do I really need all these visitors crowding the room?",Visitors,Need Visitors,These Visitors Crowding,Frustration
"Why are you always late when you come to visit?",Late,Always Late,Come Visit Late,Frustration
"Can't you see I'm trying to get some rest here?",Rest,Get Rest,Trying Get Rest,Frustration
"Why do you keep bringing up stressful topics right now?",Stressful,Bringing Up,Bringing Stressful Topics,Frustration
"Do you have to make so much noise when you're here?",Noise,Make Noise,Much Noise Making,Frustration
"Why are you arguing with the nurses about my care?",Arguing,Arguing Nurses,Nurses About Care,Frustration
"Can you just listen instead of giving me advice all the time?",Listen,Just Listen,Listen Instead Giving,Frustration
"Why don't you understand that I need some space?",Space,Need Space,Understand Need Space,Frustration
"Do you always have to comment on my hospital meals?",Comment,Comment Meals,Hospital Meals Comment,Frustration
"Can you not see I'm on the phone? Stop interrupting!",Interrupting,On Phone,Stop Interrupting Phone,Frustration
"Why must you question every decision the doctors make?",Question,Question Decision,Question Doctors Make,Frustration
"Can't you handle the kids for once without calling me?",Kids,Handle Kids,Kids Without Calling,Frustration
"Do I have to remind you to charge my phone every day?",Charge,Remind Charge,Remind Charge Phone,Frustration
"Why do you keep forgetting to update everyone else?",Forgetting,Keep Forgetting,Forgetting Update Everyone,Frustration
"Can't someone else take care of the errands for a change?",Errands,Take Errands,Someone Else Errands,Frustration
"Why is it so hard for you to stick to the visiting schedule?",Schedule,Visiting Schedule,Stick Visiting Schedule,Frustration
"Can you stop changing the TV channel while I'm watching?",Channel,Changing Channel,Stop Changing Channel,Frustration
"Do you have to be so loud when you talk on your phone?",Loud,Loud Talk,Talk Phone Loud,Frustration
"Can't you see I'm not in the mood for jokes right now?",Jokes,Mood Jokes,Not Mood Jokes,Frustration
"Why do you keep telling me I look tired? I know that.",Tired,Look Tired,Telling Look Tired,Frustration
"Can you not bring so many people with you next time?",People,Bring People,Bring Many People,Frustration
"Do you have to eat that smelly food right next to me?",Smelly,Eat Smelly,Smelly Food Next,Frustration
"Why can't you remember to bring my glasses every time?",Glasses,Bring Glasses,Remember Bring Glasses,Frustration
"Can't you keep the kids quiet for just a few minutes?",Quiet,Keep Quiet,Kids Quiet Minutes,Frustration
"Do you always have to ask me about the bills now?",Bills,Ask Bills,Always Ask Bills,Frustration
"Why do you keep moving my stuff around without asking?",Moving,Moving Stuff,Keep Moving Stuff,Frustration
"Can't you see I'm trying to read without interruptions?",Interruptions,Read Interruptions,Trying Read Without,Frustration
"Why aren't you taking care of the pets like you promised?",Pets,Taking Care,Care Pets Promised,Frustration
"Can you not use your outdoor voice inside the hospital?",Voice,Outdoor Voice,Use Outdoor Voice,Frustration
"Do you have to complain about the parking every single time?",Parking,Complain Parking,Parking Every Time,Frustration
"Why don't you pay attention to the doctor's instructions?",Instructions,Pay Attention,Attention Doctor's Instructions,Frustration
"Can't you figure out how to use the coffee machine here?",Coffee,Use Coffee,Coffee Machine Use,Frustration
"Do you have to question my food choices in front of everyone?",Choices,Question Choices,Question Food Choices,Frustration
"Why can't you just be positive instead of worrying aloud?",Positive,Be Positive,Positive Instead Worrying,Frustration
"Can't you take a hint that I want to be left alone sometimes?",Hint,Take Hint,Hint Want Alone,Frustration
"Why do you always have to bring up work-related issues?",Work,Work Issues,Bring Work Issues,Frustration
"Can't you coordinate with each other instead of asking me?",Coordinate,Coordinate Each,Each Other Instead,Frustration
"Do you have to use your phone's speaker in the room?",Speaker,Use Speaker,Phone Speaker Room,Frustration
"Why don't you check with the nurses before you do anything?",Check,Check Nurses,Check Nurses Before,Frustration
"Can't you keep track of my appointments without my help?",Appointments,Keep Track,Track Appointments Help,Frustration
"Why do you keep opening the window when I feel cold?",Window,Opening Window,Keep Opening Window,Frustration
"Can you not hover over me every second that you're here?",Hover,Not Hover,Hover Over Second,Frustration
"Do you have to bring the entire family every visit?",Family,Bring Family,Entire Family Visit,Frustration
"Why can't you just sit and not fidget with everything?",Fidget,Sit Fidget,Not Fidget Everything,Frustration
"Can't you understand I might not want to talk all the time?",Talk,Want Talk,Not Want Talk,Frustration
"Why do you keep asking about my will and finances now?",Finances,Asking Finances,Asking Will Finances,Frustration
"Can you not make plans for me without asking first?",Plans,Make Plans,Plans Without Asking,Frustration
"Do you have to narrate every detail of your day to me?",Narrate,Narrate Detail,Narrate Every Detail,Frustration
"Why is it taking so long to get my medication?",Medication,Get Medication,Taking Long Medication,Frustration
"What’s the hold-up with my test results?",Results,Test Results,Hold-up Test Results,Frustration
"Can't you hurry up with the discharge papers?",Discharge,Hurry Discharge,Discharge Papers Hurry,Frustration
"Do I look like I know how to fill out these forms?",Forms,Fill Forms,Know Fill Forms,Frustration
"Why haven’t I been updated about my surgery time yet?",Updated,Surgery Time,Updated Surgery Time,Frustration
"Is it normal for you to ignore my pain complaints?",Ignore,Pain Complaints,Ignore Pain Complaints,Frustration
"Can someone competent explain what’s going on?",Competent,Someone Competent,Explain Going On,Frustration
"Why do I have to keep repeating my allergies to every nurse?",Allergies,Repeating Allergies,Keep Repeating Nurse,Frustration
"Is there a reason the food here is always cold?",Food,Food Cold,Always Cold Food,Frustration
"Do you even know when the doctor will come by?",Doctor,When Doctor,Know Doctor Come,Frustration
"Why am I being moved around without any explanation?",Moved,Moved Around,Being Moved Explanation,Frustration
"Is it too much to ask for some peace and quiet?",Quiet,Peace Quiet,Ask Peace Quiet,Frustration
"Are you going to take my concerns seriously at any point?",Concerns,Take Seriously,Seriously Take Concerns,Frustration
